Time,Aggregate_CPU(%),Aggregate_Memory(GB)
2025-12-01 13:53:57,0.0,0.00
2025-12-01 13:54:00,0.0,0.00
2025-12-01 13:54:03,0.0,0.00
2025-12-01 13:54:06,0.0,0.00
2025-12-01 13:54:09,0.0,0.00
2025-12-01 13:54:12,0.0,0.00
2025-12-01 13:54:15,0.0,0.00
2025-12-01 13:54:18,0.0,0.00
2025-12-01 13:54:21,0.0,0.00
2025-12-01 13:54:24,0.0,0.00
2025-12-01 13:54:27,0.0,0.00
2025-12-01 13:54:30,0.0,0.00
2025-12-01 13:54:33,0.0,0.00
2025-12-01 13:54:36,0.0,0.00
2025-12-01 13:54:39,0.0,0.00
2025-12-01 13:54:42,0.0,0.00
2025-12-01 13:54:45,0.0,0.00
2025-12-01 13:54:48,0.0,0.00
2025-12-01 13:54:51,0.0,0.00
2025-12-01 13:54:54,0.0,0.00
2025-12-01 13:54:58,0.0,0.00
2025-12-01 13:55:01,0.0,0.00
2025-12-01 13:55:04,0.0,0.00
2025-12-01 13:55:07,0.0,0.00
2025-12-01 13:55:10,0.0,0.00
2025-12-01 13:55:13,0.0,0.00
2025-12-01 13:55:16,0.0,0.00
2025-12-01 13:55:19,0.0,0.00
2025-12-01 13:55:22,0.0,0.00
2025-12-01 13:55:25,0.0,0.00
2025-12-01 13:55:28,0.0,0.00
2025-12-01 13:55:31,0.0,0.00
2025-12-01 13:55:34,0.0,0.00
2025-12-01 13:55:37,0.0,0.00
2025-12-01 13:55:40,0.0,0.00
2025-12-01 13:55:43,0.0,0.00
2025-12-01 13:55:46,0.0,0.00
2025-12-01 13:55:49,0.0,0.00
2025-12-01 13:55:52,0.0,0.00
2025-12-01 13:55:55,0.0,0.00
2025-12-01 13:55:58,0.0,0.00
2025-12-01 13:56:01,0.0,0.00
2025-12-01 13:56:04,0.0,0.00
2025-12-01 13:56:07,0.0,0.00
2025-12-01 13:56:10,0.0,0.00
2025-12-01 13:56:14,0.0,0.00
2025-12-01 13:56:17,0.0,0.00
2025-12-01 13:56:20,0.0,0.00
2025-12-01 13:56:23,76.0,0.27
2025-12-01 13:56:27,136.0,0.55
2025-12-01 13:56:30,0.0,0.00
2025-12-01 13:56:33,0.0,0.00
2025-12-01 13:56:36,0.0,0.00
2025-12-01 13:56:39,0.0,0.00
2025-12-01 13:56:42,0.0,0.00
2025-12-01 13:56:45,0.0,0.00
2025-12-01 13:56:48,0.0,0.00
2025-12-01 13:56:51,0.0,0.00
2025-12-01 13:56:54,0.0,0.00
2025-12-01 13:56:57,0.0,0.00
2025-12-01 13:57:00,0.0,0.00
2025-12-01 13:57:03,0.0,0.00
2025-12-01 13:57:06,0.0,0.00
2025-12-01 13:57:09,0.0,0.00
2025-12-01 13:57:12,0.0,0.00
2025-12-01 13:57:15,0.0,0.00
2025-12-01 13:57:18,0.0,0.00
2025-12-01 13:57:21,0.0,0.00
2025-12-01 13:57:25,0.0,0.00
2025-12-01 13:57:28,0.0,0.00
2025-12-01 13:57:31,0.0,0.00
2025-12-01 13:57:34,0.0,0.00
2025-12-01 13:57:37,0.0,0.00
2025-12-01 13:57:40,0.0,0.00
2025-12-01 13:57:43,0.0,0.00
2025-12-01 13:57:46,0.0,0.00
2025-12-01 13:57:49,0.0,0.00
2025-12-01 13:57:52,0.0,0.00
2025-12-01 13:57:55,0.0,0.00
2025-12-01 13:57:58,0.0,0.00
2025-12-01 13:58:01,0.0,0.00
2025-12-01 13:58:04,0.0,0.00
2025-12-01 13:58:07,0.0,0.00
2025-12-01 13:58:10,0.0,0.00
2025-12-01 13:58:13,0.0,0.00
